NIK,Nama,TTL,Status Hubungan,Status Perkawinan,Gaji,Jenis Pekerjaan,Agama,Jenis Makanan,Kode Rumah,Luas Rumah
3359990000000000.0,Pak Sutajo,"jember, 28-07-1933",Kepala Keluarga,kawin,"Rp3.000.000,00",Pensiunan,Islam,rawon,A1,280
3357030000000000.0,Bu Sutajo,"jember, 12-07-1940",Istri,kawin,"Rp0,00",Tidak Bekerja,Islam,rawon,A1,280
3356440000000000.0,Pak Jais,"jember, 01-07-1963",Kepala Keluarga,kawin,"Rp3.000.000,00",Pensiunan,Islam,bakso,B1,240
3355550000000000.0,Bu Jais,"jember, 15-03-1966",Istri,kawin,"Rp0,00",Tidak Bekerja,Islam,bakso,B1,240
3354210000000000.0,Pak Pardi,"jember, 14-12-1965",Kepala Keluarga,kawin,"Rp3.000.000,00",Pensiunan,Islam,rawon,B2,240
3354390000000000.0,Bu Pardi,"Pemalang, 07-08-1966",Istri,kawin,"Rp0,00",Tidak Bekerja,Islam,rawon,B2,240
3352830000000000.0,Pak Udin,"jember, 11-09-1968",Kepala Keluarga,kawin,"Rp3.000.000,00",Pensiunan,Islam,ayam bakar,B3,260
3359840000000000.0,Bu Udin,"jember, 09-09-1968",Istri,kawin,"Rp3.000.000,00",Pensiunan,Islam,ayam bakar,B3,260
3356070000000000.0,Pak Suprapto,"jember, 21-02-1975",Kepala Keluarga,kawin,"Rp2.789.583,37",PNS,Islam,bakso,C1,200
3352750000000000.0,Bu Suprapto,"jember, 22-04-1977",Istri,kawin,"Rp6.430.981,43",Swasta,Islam,bakso,C1,200
3356810000000000.0,Pak Fahmi,"jember, 14-08-1978",Kepala Keluarga,kawin,"Rp2.727.962,40",Swasta,Islam,opor,C2,240
3356720000000000.0,Bu Fahmi,"semarang, 28-06-1978",Istri,kawin,"Rp12.574.754,56",BUMN,Islam,opor,C2,240
3356560000000000.0,Pak Karno,"jember, 10-04-1979",Kepala Keluarga,kawin,"Rp687.021,57",Swasta,Islam,opor,C3,120
3352870000000000.0,Bu Karno,"jember, 06-03-1980",Istri,kawin,"Rp0,00",Tidak Bekerja,Islam,opor,C3,120
3354250000000000.0,Pak Qodri,"jember, 11-09-1980",Kepala Keluarga,kawin,"Rp6.166.126,13",BUMN,Islam,bakso,C4,200
3358110000000000.0,Bu Qodri,"Jakarta, 11-04-1986",Istri,kawin,"Rp9.489.851,35",Swasta,Islam,bakso,C4,200
3356700000000000.0,Pak Joko,"Malang, 07-06-1980",Kepala Keluarga,kawin,"Rp6.548.181,76",BUMN,Islam,rawon,C5,240
3356000000000000.0,Bu Joko,"jember, 06-08-1983",Istri,kawin,"Rp3.766.594,06",PNS,Islam,rawon,C5,240
3354390000000000.0,Pak Parjo,"Jember, 12-07-1979",Kepala Keluarga,kawin,"Rp2.833.458,87",PNS,Islam,ayam bakar,C6,180
3353890000000000.0,Bu Parjo,"jember, 06-08-1983",Istri,kawin,"Rp0,00",Tidak Bekerja,Islam,ayam bakar,C6,180
3359850000000000.0,Pak Hari,"Jember, 08-09-1984",Kepala Keluarga,kawin,"Rp624.887,67",PNS,Islam,opor,C7,200
